,time,temp,plant,plant_number,location
113,2025-06-12 02:00:00,27.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
114,2025-06-12 03:00:00,26.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
115,2025-06-12 04:00:00,25.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
116,2025-06-12 05:00:00,24.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
117,2025-06-12 06:00:00,23.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
118,2025-06-12 07:00:00,30.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
119,2025-06-12 08:00:00,37.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
120,2025-06-12 09:00:00,40.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
121,2025-06-12 10:00:00,42.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
122,2025-06-12 11:00:00,45.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
123,2025-06-12 12:00:00,45.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
124,2025-06-12 13:00:00,45.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
125,2025-06-12 14:00:00,46.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
126,2025-06-12 15:00:00,45.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
127,2025-06-12 16:00:00,43.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
128,2025-06-12 17:00:00,42.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
129,2025-06-12 18:00:00,41.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
130,2025-06-12 19:00:00,38.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
131,2025-06-12 20:00:00,34.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
132,2025-06-12 21:00:00,32.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
133,2025-06-12 22:00:00,31.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
134,2025-06-12 23:00:00,30.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
135,2025-06-13 00:00:00,29.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
136,2025-06-13 01:00:00,27.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
137,2025-06-13 02:00:00,25.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
138,2025-06-13 03:00:00,25.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
139,2025-06-13 04:00:00,24.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
140,2025-06-13 05:00:00,23.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
141,2025-06-13 06:00:00,22.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
142,2025-06-13 07:00:00,29.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
143,2025-06-13 08:00:00,36.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
144,2025-06-13 09:00:00,41.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
145,2025-06-13 10:00:00,42.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
146,2025-06-13 11:00:00,44.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
147,2025-06-13 12:00:00,45.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
148,2025-06-13 13:00:00,46.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
149,2025-06-13 14:00:00,46.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
150,2025-06-13 15:00:00,45.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
151,2025-06-13 16:00:00,44.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
152,2025-06-13 17:00:00,42.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
153,2025-06-13 18:00:00,43.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
154,2025-06-13 19:00:00,39.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
155,2025-06-13 20:00:00,34.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
156,2025-06-13 21:00:00,30.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
157,2025-06-13 22:00:00,29.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
158,2025-06-13 23:00:00,27.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
159,2025-06-14 00:00:00,28.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
160,2025-06-14 01:00:00,26.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
161,2025-06-14 02:00:00,25.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
162,2025-06-14 03:00:00,24.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
163,2025-06-14 04:00:00,23.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
164,2025-06-14 05:00:00,22.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
165,2025-06-14 06:00:00,22.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
166,2025-06-14 07:00:00,29.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
167,2025-06-14 08:00:00,36.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
168,2025-06-14 09:00:00,41.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
169,2025-06-14 10:00:00,43.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
170,2025-06-14 11:00:00,45.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
171,2025-06-14 12:00:00,46.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
172,2025-06-14 13:00:00,47.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
173,2025-06-14 14:00:00,47.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
174,2025-06-14 15:00:00,48.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
175,2025-06-14 16:00:00,46.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
176,2025-06-14 17:00:00,45.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
177,2025-06-14 18:00:00,44.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
178,2025-06-14 19:00:00,39.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
179,2025-06-14 20:00:00,35.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
180,2025-06-14 21:00:00,32.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
181,2025-06-14 22:00:00,30.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
182,2025-06-14 23:00:00,28.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
183,2025-06-15 00:00:00,26.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
184,2025-06-15 01:00:00,25.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
185,2025-06-15 02:00:00,24.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
186,2025-06-15 03:00:00,24.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
187,2025-06-15 04:00:00,23.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
188,2025-06-15 05:00:00,23.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
189,2025-06-15 06:00:00,22.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
190,2025-06-15 07:00:00,30.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
191,2025-06-15 08:00:00,38.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
192,2025-06-15 09:00:00,42.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
193,2025-06-15 10:00:00,45.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
194,2025-06-15 11:00:00,48.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
195,2025-06-15 12:00:00,49.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
196,2025-06-15 13:00:00,49.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
197,2025-06-15 14:00:00,49.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
198,2025-06-15 15:00:00,49.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
199,2025-06-15 16:00:00,47.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
200,2025-06-15 17:00:00,46.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
201,2025-06-15 18:00:00,45.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
202,2025-06-15 19:00:00,41.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
203,2025-06-15 20:00:00,37.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
204,2025-06-15 21:00:00,34.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
205,2025-06-15 22:00:00,33.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
206,2025-06-15 23:00:00,30.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
207,2025-06-16 00:00:00,28.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
208,2025-06-16 01:00:00,27.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
209,2025-06-16 02:00:00,26.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
210,2025-06-16 03:00:00,25.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
